,score,player,gw,owner,team,owner_color
111,15.0,Hugo Lloris,25.0,Peter Allan,Wizards of Ozil,#c73b32
112,11.0,Dominic Calvert-Lewin,26.0,Peter Allan,Wizards of Ozil,#c73b32
113,13.0,Pierre-Emerick Aubameyang,27.0,Peter Allan,Wizards of Ozil,#c73b32
114,7.0,Raúl Jiménez,28.0,Peter Allan,Wizards of Ozil,#c73b32
115,9.0,Victor Lindelöf,29.0,Peter Allan,Wizards of Ozil,#c73b32
116,20.0,Raheem Sterling,1.0,Dylan Urquhart,Heung like Son,#cc66cc
117,17.0,Teemu Pukki,2.0,Dylan Urquhart,Heung like Son,#cc66cc
118,11.0,Teemu Pukki,3.0,Dylan Urquhart,Heung like Son,#cc66cc
119,6.0,Ederson Santana de Moraes,4.0,Dylan Urquhart,Heung like Son,#cc66cc
120,16.0,Heung-Min Son,5.0,Dylan Urquhart,Heung like Son,#cc66cc
121,15.0,Riyad Mahrez,6.0,Dylan Urquhart,Heung like Son,#cc66cc
122,10.0,Riyad Mahrez,7.0,Dylan Urquhart,Heung like Son,#cc66cc
123,9.0,Patrick van Aanholt,8.0,Dylan Urquhart,Heung like Son,#cc66cc
124,9.0,Danny Ings,9.0,Dylan Urquhart,Heung like Son,#cc66cc
125,11.0,Raheem Sterling,10.0,Dylan Urquhart,Heung like Son,#cc66cc
126,9.0,Andrew Robertson,11.0,Dylan Urquhart,Heung like Son,#cc66cc
127,8.0,Heung-Min Son,12.0,Dylan Urquhart,Heung like Son,#cc66cc
128,13.0,Heung-Min Son,13.0,Dylan Urquhart,Heung like Son,#cc66cc
129,10.0,Heung-Min Son,14.0,Dylan Urquhart,Heung like Son,#cc66cc
130,9.0,Danny Ings,15.0,Dylan Urquhart,Heung like Son,#cc66cc
131,12.0,Heung-Min Son,16.0,Dylan Urquhart,Heung like Son,#cc66cc
132,10.0,Raheem Sterling,17.0,Dylan Urquhart,Heung like Son,#cc66cc
133,13.0,Danny Ings,18.0,Dylan Urquhart,Heung like Son,#cc66cc
134,10.0,Raheem Sterling,19.0,Dylan Urquhart,Heung like Son,#cc66cc
135,9.0,Danny Ings,20.0,Dylan Urquhart,Heung like Son,#cc66cc
136,12.0,Andrew Robertson,21.0,Dylan Urquhart,Heung like Son,#cc66cc
137,17.0,Riyad Mahrez,22.0,Dylan Urquhart,Heung like Son,#cc66cc
138,9.0,Teemu Pukki,23.0,Dylan Urquhart,Heung like Son,#cc66cc
139,10.0,Jorge Luiz Frello Filho,24.0,Dylan Urquhart,Heung like Son,#cc66cc
140,8.0,Héctor Bellerín,25.0,Dylan Urquhart,Heung like Son,#cc66cc
141,13.0,Heung-Min Son,26.0,Dylan Urquhart,Heung like Son,#cc66cc
142,12.0,Kasper Schmeichel,27.0,Dylan Urquhart,Heung like Son,#cc66cc
143,8.0,Patrick van Aanholt,28.0,Dylan Urquhart,Heung like Son,#cc66cc
144,6.0,Patrick van Aanholt,29.0,Dylan Urquhart,Heung like Son,#cc66cc
145,13.0,Marcus Rashford,1.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
146,11.0,Bernard Anício Caldeira Duarte,2.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
147,15.0,Mohamed Salah,3.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
148,6.0,Nicolás Otamendi,4.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
149,9.0,Mason Mount,5.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
150,15.0,Nicolás Otamendi,6.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
151,6.0,Kepa Arrizabalaga,7.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
152,10.0,Raúl Jiménez,8.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
153,14.0,Marcos Alonso,9.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
154,9.0,Neal Maupay,10.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
155,14.0,Kyle Walker,11.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
156,9.0,Raúl Jiménez,12.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
157,11.0,Marcus Rashford,13.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
158,5.0,Raúl Jiménez,14.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
159,13.0,Marcus Rashford,15.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
160,13.0,Mohamed Salah,16.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
161,16.0,Mohamed Salah,17.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
162,11.0,Marcos Alonso,18.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
163,11.0,Raúl Jiménez,19.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
164,9.0,Marcus Rashford,20.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
165,10.0,Mohamed Salah,21.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
166,12.0,Marcus Rashford,22.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
167,15.0,Virgil van Dijk,23.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
168,16.0,Mohamed Salah,24.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
169,16.0,Mohamed Salah,25.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
170,7.0,Kyle Walker,26.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
171,9.0,Neal Maupay,27.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
172,16.0,Marcos Alonso,28.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
173,10.0,Vicente Guaita,29.0,Matt Lowry,Ol' Cider's Lowry,#ffe6d2
174,9.0,Willy Boly,1.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
175,13.0,Sadio Mané,2.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
176,8.0,Joelinton Cássio Apolinário de Lira,3.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
177,12.0,Youri Tielemans,4.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
178,15.0,Sadio Mané,5.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
179,12.0,John Lundstram,6.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
180,9.0,Vicente Guaita,7.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
181,12.0,Sadio Mané,8.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
182,9.0,Youri Tielemans,9.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
183,19.0,Benjamin Chilwell,10.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
184,21.0,John Lundstram,11.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
185,8.0,Christian Pulisic,12.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
186,9.0,Sadio Mané,13.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
187,3.0,Felipe Anderson Pereira Gomes,14.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
188,15.0,Sadio Mané,15.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
189,13.0,Diogo Jota,16.0,Tom Barratt,Ain't No Holebas Girl,#0ac832
