,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,position,team_name,friendly_name
311,100.0,100.0,97299,0,0,-2,2,0,2,1.3,0.8,0,John,0.3,207,False,,2020-01-20T14:00:12.749463Z,53,97299.jpg,2.0,Stones,1.0,False,,a,11,43,24,97903,278,270973,394,0.1,4.5,Stones,904,0,0,2,15,0,0,0,0,0,0,0,183,158.6,48.9,66.0,27.4,DEF,Man City,John Stones
312,100.0,100.0,57410,0,0,-5,5,1,2,4.0,3.5,1,Nicolás,3.0,208,False,,2020-01-02T20:30:18.886401Z,50,57410.jpg,3.5,Otamendi,2.3,False,,a,11,43,66,743420,2602,722415,1940,0.6,13.2,Otamendi,1413,2,1,5,19,0,0,0,3,0,0,6,311,362.2,60.3,300.0,72.1,DEF,Man City,Nicolás Otamendi
313,0.0,0.0,100180,0,0,0,0,0,2,0.0,0.0,0,Danilo Luiz,0.0,209,False,Joined Juventus on a permanent deal on 7/8.,2019-08-07T20:30:14.457427Z,50,100180.jpg,0.0,da Silva,0.0,False,,u,11,43,0,676,9,5854,10,0.0,0.0,Danilo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,DEF,Man City,Danilo Luiz da Silva
314,100.0,100.0,37572,0,0,-1,1,4,4,1.5,1.5,1,Sergio,1.0,210,False,,2020-03-08T20:30:20.145408Z,119,37572.jpg,5.6,Agüero,17.5,False,,a,11,43,124,2786208,15314,2951108,48118,0.1,10.4,Agüero,1394,16,4,5,18,0,0,1,1,0,0,14,490,639.6,254.4,1133.0,202.5,FWD,Man City,Sergio Agüero
315,100.0,100.0,205651,0,0,0,0,2,4,3.7,3.2,0,Gabriel Fernando,2.7,211,False,,2019-12-27T19:30:12.474110Z,95,205651.jpg,4.0,de Jesus,3.2,False,,a,11,43,97,627753,10638,620339,12135,0.3,10.2,Jesus,1333,10,5,6,12,0,0,1,2,0,0,9,363,518.8,241.1,1119.0,187.5,FWD,Man City,Gabriel Fernando de Jesus
316,100.0,100.0,121160,0,0,0,0,0,1,6.0,5.5,2,Ederson,5.0,212,False,,2020-01-01T17:30:18.272745Z,60,121160.jpg,3.3,Santana de Moraes,11.7,False,,a,11,43,82,938095,9838,1463957,4687,0.8,13.7,Ederson,2171,0,0,9,27,0,0,0,3,1,50,2,406,429.6,3.0,0.0,43.0,GK,Man City,Ederson Santana de Moraes
317,100.0,100.0,33148,0,0,-3,3,0,1,1.0,0.5,0,Claudio,0.0,213,False,,2019-06-25T11:30:07.160148Z,47,33148.jpg,2.8,Bravo,0.3,False,,a,11,43,11,22484,49,35516,120,0.0,2.3,Bravo,346,0,0,1,7,0,0,0,0,0,8,0,69,57.8,0.0,0.0,5.8,GK,Man City,Claudio Bravo
318,100.0,100.0,103955,0,0,-3,3,4,3,1.7,1.2,2,Raheem,0.7,214,False,,2020-02-02T19:00:22.102540Z,117,103955.jpg,4.9,Sterling,15.6,False,,a,11,43,118,2135772,10009,3359031,8913,0.1,10.1,Sterling,2018,11,2,8,27,0,0,1,5,0,0,9,384,569.8,571.6,1334.0,247.5,MID,Man City,Raheem Sterling
319,75.0,75.0,61366,-1,1,11,-11,6,3,5.0,4.7,0,Kevin,5.7,215,True,Shoulder injury - 75% chance of playing,2020-03-04T22:30:16.371900Z,106,61366.jpg,6.8,De Bruyne,45.6,False,,d,11,43,178,5236958,10746,3361271,154004,0.5,16.8,De Bruyne,2148,8,18,12,20,0,0,0,2,0,0,23,715,955.4,1457.9,745.0,316.0,MID,Man City,Kevin De Bruyne
320,75.0,0.0,182156,0,0,-2,2,0,3,0.0,0.0,0,Leroy,0.0,216,False,Lack of match fitness - 75% chance of playing,2019-08-04T23:30:16.051513Z,93,182156.jpg,0.0,Sané,0.2,False,,d,11,43,0,3923,180,35950,170,0.0,0.0,Sané,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,MID,Man City,Leroy Sané
321,100.0,100.0,103025,0,0,-1,1,4,3,4.0,3.5,1,Riyad,3.0,217,False,,2020-01-27T16:30:23.592705Z,84,103025.jpg,5.3,Mahrez,9.8,False,,a,11,43,121,1977706,22655,1528985,34392,0.4,14.4,Mahrez,1382,7,10,6,11,0,0,0,0,0,0,14,481,601.2,667.9,778.0,204.7,MID,Man City,Riyad Mahrez
