,code,team_h,team_h_score_x,team_a,team_a_score_x,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,player_id,position,first_name,photo,second_name,team,team_name,news,news_added,id,team_h_difficulty,team_h_score_y,team_h_name,team_a_difficulty,team_a_score_y,team_a_name
60,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,551,GK,Archie,233849.jpg,Mair,14,Norwich,,,551,2,,Arsenal,4,,Norwich
61,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,552,DEF,Akin,232667.jpg,Famewo,14,Norwich,Joined St Mirren on loan until the end of the season on 8/1. - Expected back 01 Jul,2020-01-08T10:30:20.484548Z,552,2,,Arsenal,4,,Norwich
62,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,601,MID,Ondrej,139110.jpg,Duda,14,Norwich,,,601,2,,Arsenal,4,,Norwich
63,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,602,MID,Lukas,76306.jpg,Rupp,14,Norwich,,,602,2,,Arsenal,4,,Norwich
64,1060031,20,,1,,33.0,False,0,False,2020-04-13 19:00:00,Gameweek 33,False,3,1,DEF,Shkodran,69140.jpg,Mustafi,1,Arsenal,,2020-02-27T23:00:18.104137Z,1,3,,Wolves,3,,Arsenal
65,1060031,20,,1,,33.0,False,0,False,2020-04-13 19:00:00,Gameweek 33,False,3,2,DEF,Héctor,98745.jpg,Bellerín,1,Arsenal,,2019-12-09T20:00:21.228098Z,2,3,,Wolves,3,,Arsenal
66,1060031,20,,1,,33.0,False,0,False,2020-04-13 19:00:00,Gameweek 33,False,3,3,DEF,Sead,111457.jpg,Kolasinac,1,Arsenal,Shoulder injury - 75% chance of playing,2020-02-23T18:30:13.672943Z,3,3,,Wolves,3,,Arsenal
67,1060031,20,,1,,33.0,False,0,False,2020-04-13 19:00:00,Gameweek 33,False,3,4,DEF,Ainsley,154043.jpg,Maitland-Niles,1,Arsenal,,2019-09-22T18:00:10.824841Z,4,3,,Wolves,3,,Arsenal
68,1060031,20,,1,,33.0,False,0,False,2020-04-13 19:00:00,Gameweek 33,False,3,5,DEF,Sokratis,39476.jpg,Papastathopoulos,1,Arsenal,,2020-02-21T01:30:19.929771Z,5,3,,Wolves,3,,Arsenal
69,1060031,20,,1,,33.0,False,0,False,2020-04-13 19:00:00,Gameweek 33,False,3,6,DEF,Nacho,38411.jpg,Monreal,1,Arsenal,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,6,3,,Wolves,3,,Arsenal
